# index, _pos
0,"array([-5.62513633, -6.35481584])"
1,"array([-5.61664853, -6.48841452])"
2,"array([-5.67081551, -6.6383938 ])"
3,"array([-5.69028765, -6.63905574])"
4,"array([-5.51707209, -6.54853104])"
5,"array([-5.47534094, -6.53114503])"
6,"array([-5.67019918, -6.4408171 ])"
7,"array([-5.6624438 , -6.55064483])"
8,"array([-5.63480886, -6.54289734])"
9,"array([-5.62161091, -6.47057972])"
10,"array([-5.65963096, -6.59181112])"
11,"array([-5.63680158, -6.50681887])"
12,"array([-5.78627095, -6.53525032])"
13,"array([-5.69635516, -6.60204969])"
14,"array([-5.50555773, -6.33867913])"
15,"array([-5.51443827, -6.51965869])"
16,"array([-5.52290603, -6.38177564])"
17,"array([-5.54974793, -6.48071795])"
18,"array([-5.62828606, -6.58664953])"
19,"array([-5.6046168 , -6.51762158])"
20,"array([-5.53016029, -6.47647523])"
21,"array([-5.59442853, -6.49701119])"
22,"array([-5.59015147, -6.52345868])"
23,"array([-5.60696515, -6.51557567])"
24,"array([-5.64533688, -6.63050518])"
25,"array([-5.6942919 , -6.59843329])"
26,"array([-5.60060514, -6.50002485])"
27,"array([-5.55746923, -6.48426765])"
28,"array([-5.59933799, -6.5270956 ])"
29,"array([-5.56002647, -6.60762894])"
30,"array([-5.63138813, -6.58182157])"
31,"array([-5.65298339, -6.63587387])"
32,"array([-5.72274794, -6.70724424])"
33,"array([-5.68905009, -6.68384382])"
34,"array([-5.66784257, -6.58357372])"
35,"array([-5.65630452, -6.60011138])"
36,"array([-5.59560386, -6.48608575])"
37,"array([-5.56556609, -6.49863253])"
38,"array([-5.51842866, -6.5062699 ])"
39,"array([-5.52779884, -6.46463121])"
40,"array([-5.64557484, -6.56050717])"
41,"array([-5.76086918, -6.62164848])"
42,"array([-5.70616199, -6.5415663 ])"
43,"array([-5.93256121, -6.40288867])"
44,"array([-5.65922391, -6.54746731])"
45,"array([-5.69556705, -6.56934021])"
46,"array([-5.52596892, -6.48978874])"
47,"array([-5.52959182, -6.52043224])"
48,"array([-5.59780078, -6.61650683])"
49,"array([-5.66289344, -6.54607612])"
50,"array([-5.60197853, -6.51537787])"
51,"array([-5.55543403, -6.49452438])"
52,"array([-5.57386356, -6.46397073])"
53,"array([-5.56291316, -6.49087981])"
54,"array([-5.68190999, -6.47120195])"
55,"array([-5.65406957, -6.51670523])"
56,"array([-5.7396756 , -6.61033323])"
57,"array([-5.65146825, -6.50943207])"
58,"array([-5.51568062, -6.50006716])"
59,"array([-5.58896788, -6.50258167])"
60,"array([-5.64254803, -6.524889  ])"
61,"array([-5.64173823, -6.47799308])"
62,"array([-5.67284496, -6.59541113])"
63,"array([-5.6502205 , -6.55641633])"
64,"array([-5.70740074, -6.73489894])"
65,"array([-5.66803299, -6.63151961])"
66,"array([-5.65855751, -6.55827165])"
67,"array([-5.65921226, -6.52423087])"
68,"array([-5.72440236, -6.66566444])"
69,"array([-5.80147693, -6.68289043])"
70,"array([-5.66120029, -6.53879026])"
71,"array([-5.72250078, -6.60506441])"
72,"array([-5.62555563, -6.60316974])"
73,"array([-5.6656821 , -6.61416478])"
74,"array([-5.62568417, -6.59877407])"
75,"array([-5.64805912, -6.52064975])"
76,"array([-5.72657585, -6.70210046])"
77,"array([-5.67202933, -6.61508315])"
78,"array([-5.57588095, -6.50838489])"
79,"array([-5.52268387, -6.43345672])"
80,"array([-5.55046351, -6.64226855])"
81,"array([-5.50841114, -6.56097356])"
82,"array([-5.7158793 , -6.71099458])"
83,"array([-5.69497745, -6.64290383])"
84,"array([-5.7612169 , -6.56806349])"
85,"array([-5.69168398, -6.55500113])"
86,"array([-5.71958604, -6.55345593])"
87,"array([-5.72579066, -6.64760569])"
88,"array([-5.64360668, -6.62942481])"
